Controller Name:,New_Controller1158935656,,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:47:00;651,,,,,,,,,,,,,
Stop Time:,8/18/2023,15:48:06;831,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,6618
Post-Samples:,0,,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,,,,,,
Data,8/18/2023,15:47:00;651,0.294584,193.548386,,,0.285,198,,,,,,,
Data,8/18/2023,15:47:00;661,0.294584,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;671,0.294584,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;681,0.293307,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;691,0.293307,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;701,0.293307,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;711,0.293307,193.548386,,,,,,,,,,,
Data,8/18/2023,15:47:00;721,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;731,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;741,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;751,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;761,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;771,0.293307,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;781,0.293335,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;791,0.293335,189.75737,,,,,,,,,,,
Data,8/18/2023,15:47:00;801,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;811,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;821,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;831,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;841,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;851,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;861,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;871,0.293335,194.499741,,,,,,,,,,,
Data,8/18/2023,15:47:00;881,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;891,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;901,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;911,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;921,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;931,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;941,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;951,0.291904,197.853851,,,,,,,,,,,
Data,8/18/2023,15:47:00;961,0.291904,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:00;971,0.291904,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:00;981,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:00;991,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:01;001,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:01;011,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:01;021,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:01;031,0.291919,197.502731,,,,,,,,,,,
Data,8/18/2023,15:47:01;041,0.291919,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;051,0.291919,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;061,0.291919,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;071,0.291919,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;081,0.29247,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;091,0.29247,198.453644,,,,,,,,,,,
Data,8/18/2023,15:47:01;101,0.29247,198.453644,,,,,,,,,,,
