Controller Name:,New_Controller1158935656,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:34:14;554,,,,,,,,,,,,
Stop Time:,8/18/2023,15:36:24;334,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,distance,t,v1,,
Data,8/18/2023,15:34:14;554,0.686193,28.859634,,0.269,0.5904,25.82,,10,22.92,0.436300175,,0.6587
Data,8/18/2023,15:34:14;564,0.686193,28.859634,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;574,0.686193,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;584,0.686193,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;594,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;604,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;614,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;624,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;634,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;644,0.688621,38.685963,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;654,0.688621,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;664,0.688621,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;674,0.688621,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;684,0.688621,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;694,0.690152,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;704,0.690152,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;714,0.690152,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;724,0.690152,45.457325,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;734,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;744,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;754,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;764,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;774,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;784,0.690152,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;794,0.693194,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;804,0.693194,43.131393,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;814,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;824,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;834,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;844,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;854,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;864,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;874,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;884,0.693194,39.643009,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;894,0.692764,35.192703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;904,0.692764,35.192703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;914,0.692764,35.192703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;924,0.692764,35.192703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;934,0.692764,35.192703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:14;944,0.692764,35.192703,,0.269,0.5904,,,,,,,
