Controller Name:,"New_Controller2027111520"
Trend Name:,"testtrend"
Trend Tags:,"7"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,12/23/2023,16:20:42;948
Stop Time:,12/23/2023,16:23:29;518
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter","Preform_Idler_Speed","Spool_Dia"
Data,12/23/2023,16:20:42;948,"176.549164","1640.000000","145.099106","84.894005","0.198184","0.191737","70.280426"
Data,12/23/2023,16:20:42;958,"176.809097","1650.000000","145.292053","84.894409","0.196341","0.191737","70.264252"
Data,12/23/2023,16:20:42;968,"177.068573","1660.000000","145.459198","84.898552","0.196333","0.191737","70.226555"
Data,12/23/2023,16:20:42;978,"177.327591","1670.000000","145.596024","84.899025","0.196347","0.191737","70.177704"
Data,12/23/2023,16:20:42;988,"177.586136","1680.000000","145.696747","84.898376","0.195285","0.191737","70.169731"
Data,12/23/2023,16:20:42;998,"177.844208","1690.000000","145.794540","84.887741","0.195767","0.191737","70.116386"
Data,12/23/2023,16:20:43;008,"178.101807","1700.000000","145.899078","84.913246","0.198935","0.191737","70.078766"
Data,12/23/2023,16:20:43;018,"178.358932","1710.000000","146.083084","84.923553","0.194305","0.191737","70.058281"
Data,12/23/2023,16:20:43;028,"178.615585","1720.000000","146.285217","84.924911","0.194021","0.191737","70.077812"
Data,12/23/2023,16:20:43;038,"178.871750","1730.000000","146.474884","84.924217","0.196497","0.191737","70.112312"
Data,12/23/2023,16:20:43;048,"179.127441","1740.000000","146.634979","84.923302","0.196966","0.191737","70.121574"
Data,12/23/2023,16:20:43;058,"179.382645","1750.000000","146.753235","84.922264","0.197121","0.191737","70.182854"
Data,12/23/2023,16:20:43;068,"179.637360","1760.000000","146.867645","84.920624","0.196625","0.191737","70.244385"
Data,12/23/2023,16:20:43;078,"179.891602","1770.000000","146.966049","84.920746","0.196533","0.191737","70.284279"
Data,12/23/2023,16:20:43;088,"180.145325","1780.000000","147.178513","84.915276","0.197159","0.191737","70.294449"
Data,12/23/2023,16:20:43;098,"180.398560","1790.000000","147.403793","84.904610","0.195522","0.191737","70.209793"
Data,12/23/2023,16:20:43;108,"180.651306","1800.000000","147.606110","84.892456","0.195758","0.191737","70.196518"
Data,12/23/2023,16:20:43;118,"180.903549","1810.000000","147.788589","84.895264","0.194734","0.191737","70.153191"
Data,12/23/2023,16:20:43;128,"181.155273","1820.000000","147.936539","84.896935","0.197308","0.191737","70.176971"
Data,12/23/2023,16:20:43;138,"181.406525","1830.000000","148.067307","84.898834","0.198047","0.191737","69.463989"
Data,12/23/2023,16:20:43;148,"181.657242","1840.000000","148.172073","84.901062","0.198457","0.191737","69.471764"
Data,12/23/2023,16:20:43;158,"181.907471","1850.000000","148.368896","84.903259","0.197808","0.191737","69.471817"
Data,12/23/2023,16:20:43;168,"182.157166","1860.000000","148.603104","84.906731","0.198712","0.191737","70.211014"
Data,12/23/2023,16:20:43;178,"182.406372","1870.000000","148.799026","84.908257","0.197751","0.191737","70.217751"
Data,12/23/2023,16:20:43;188,"182.655029","1880.000000","148.971405","84.906738","0.200180","0.191737","70.284149"
Data,12/23/2023,16:20:43;198,"182.903183","1890.000000","149.107315","84.886734","0.200281","0.191737","70.255783"
Data,12/23/2023,16:20:43;208,"183.150818","1900.000000","149.233704","84.877930","0.202362","0.191737","70.214828"
Data,12/23/2023,16:20:43;218,"183.397919","1910.000000","149.331238","84.873917","0.201910","0.191737","70.296593"
Data,12/23/2023,16:20:43;228,"183.644501","1920.000000","149.499817","84.881836","0.202328","0.191737","70.331635"
Data,12/23/2023,16:20:43;238,"183.890549","1930.000000","149.747208","84.885696","0.202605","0.191737","70.307205"
Data,12/23/2023,16:20:43;248,"184.136063","1940.000000","149.963425","84.893318","0.204436","0.191737","70.297310"
Data,12/23/2023,16:20:43;258,"184.381058","1950.000000","150.139801","84.896881","0.205044","0.191737","70.253754"
Data,12/23/2023,16:20:43;268,"184.625488","1960.000000","150.291931","84.902901","0.206859","0.191737","70.219879"
Data,12/23/2023,16:20:43;278,"184.869415","1970.000000","150.410004","84.906120","0.207207","0.191737","70.193130"
Data,12/23/2023,16:20:43;288,"185.112778","1980.000000","150.495834","84.908920","0.207087","0.191737","70.193184"
Data,12/23/2023,16:20:43;298,"185.355606","1990.000000","150.673828","84.893707","0.208188","0.191737","70.255318"
Data,12/23/2023,16:20:43;308,"185.597870","2000.000000","150.888214","84.892967","0.207381","0.191737","70.264694"
Data,12/23/2023,16:20:43;318,"185.839600","2010.000000","151.099487","84.887665","0.210609","0.191737","70.286293"
Data,12/23/2023,16:20:43;328,"186.080780","2020.000000","151.263107","84.897041","0.209285","0.191737","70.269844"
Data,12/23/2023,16:20:43;338,"186.321396","2030.000000","151.413223","84.902946","0.210590","0.191737","70.221359"
Data,12/23/2023,16:20:43;348,"186.561462","2040.000000","151.521149","84.909477","0.208612","0.191737","70.194992"
Data,12/23/2023,16:20:43;358,"186.800980","2050.000000","151.611801","84.913727","0.211362","0.191737","70.168411"
Data,12/23/2023,16:20:43;368,"187.039917","2060.000000","151.760239","84.920547","0.209090","0.191737","70.127396"
Data,12/23/2023,16:20:43;378,"187.278305","2070.000000","151.975952","84.922874","0.209641","0.191737","70.077553"
Data,12/23/2023,16:20:43;388,"187.516129","2080.000000","152.170380","84.927521","0.208542","0.191737","70.055878"
Data,12/23/2023,16:20:43;398,"187.753387","2090.000000","152.345490","84.917175","0.210816","0.191737","70.097900"
Data,12/23/2023,16:20:43;408,"187.990051","2100.000000","152.488235","84.927841","0.206325","0.191737","70.089920"
Data,12/23/2023,16:20:43;418,"188.226166","2110.000000","152.616058","84.924034","0.207636","0.191737","70.132454"
Data,12/23/2023,16:20:43;428,"188.461700","2120.000000","152.704773","84.929764","0.205744","0.191737","70.178879"
