Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:21:22;659,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:23:47;139,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,
Data,11/21/2023,16:21:22;659,199.547821,12692,171.04277,85.008484,0.168775,0.168775,,,,,,,,
Data,11/21/2023,16:21:22;669,199.491241,12700,171.013474,85.008484,0.168775,0.168775,,,,,,,,
Data,11/21/2023,16:21:22;679,199.448029,12710,170.985535,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;689,199.391541,12721,170.958038,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;699,199.326233,12730,170.93013,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;709,199.270325,12741,170.903503,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;719,199.199005,12750,170.87648,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;729,199.138184,12760,170.850677,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;739,199.068024,12772,170.855896,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;749,198.980225,12780,170.925385,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;759,198.919495,12790,170.995911,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;769,198.841156,12800,171.063202,85.003815,0.16469,0.16469,,,,,,,,
Data,11/21/2023,16:21:22;779,198.760101,12810,171.1315,85.0047,0.162468,0.162468,,,,,,,,
Data,11/21/2023,16:21:22;789,198.676331,12822,171.19664,85.0047,0.162468,0.162468,,,,,,,,
Data,11/21/2023,16:21:22;799,198.572235,12830,171.262726,85.0047,0.162468,0.162468,,,,,,,,
Data,11/21/2023,16:21:22;809,198.500656,12840,171.325775,85.0047,0.162468,0.162468,,,,,,,,
Data,11/21/2023,16:21:22;819,198.408768,12850,171.389099,85.0047,0.162468,0.162468,,,,,,,,
