Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:32:31;495,,,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:35:18;185,,,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,,,
Data,11/21/2023,16:32:31;495,189.799423,1640,155.919693,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;505,190.026871,1650,156.119904,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;515,190.251938,1660,156.310913,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;525,190.47464,1671,156.50473,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;535,190.716858,1680,156.573776,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;545,190.912872,1690,156.600967,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;555,191.128372,1700,156.627655,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;565,191.341461,1710,156.653122,84.894043,0.14173,0.14173,,,,,,,,,,
Data,11/21/2023,16:32:31;575,191.341461,1710,156.67897,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;585,191.822388,1731,156.703644,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;595,191.986633,1740,156.728699,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;605,192.169556,1751,156.752625,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;615,192.390411,1760,156.923996,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;625,192.390411,1760,157.136642,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;635,192.803772,1780,157.352417,84.903107,0.140321,0.140321,,,,,,,,,,
Data,11/21/2023,16:32:31;645,192.958374,1790,157.558273,84.903107,0.140321,0.140321,,,,,,,,,,
