Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:32:39;386,-2,-0.60,-0.30,21.12,26,4.0
11/21/2023,16:32:40;385,-4,-0.60,-0.45,20.35,24,8.0
11/21/2023,16:32:41;388,-5,-0.30,-0.38,20.22,27,2.0
11/21/2023,16:32:42;388,-7,-0.60,-0.49,20.22,21,14.0
11/21/2023,16:32:43;387,-9,-0.60,-0.54,21.12,26,4.0
11/21/2023,16:32:44;391,-11,-0.60,-0.57,21.50,27,2.0
11/21/2023,16:32:45;391,-12,-0.30,-0.44,21.95,25,6.0
11/21/2023,16:32:46;389,-14,-0.60,-0.52,22.53,20,16.0
11/21/2023,16:32:47;389,-15,-0.30,-0.41,21.50,25,6.0
11/21/2023,16:32:48;392,-17,-0.60,-0.50,20.93,29,-2.0
11/21/2023,16:32:49;392,-19,-0.60,-0.55,20.48,21,14.0
11/21/2023,16:32:50;391,-20,-0.30,-0.43,19.78,24,8.0
11/21/2023,16:32:51;391,-22,-0.60,-0.51,20.35,19,18.0
11/21/2023,16:32:52;394,-23,-0.30,-0.41,20.74,25,6.0
11/21/2023,16:32:53;393,-24,-0.30,-0.35,21.63,26,4.0
11/21/2023,16:32:54;392,-25,-0.30,-0.33,22.14,23,10.0
11/21/2023,16:32:55;392,-27,-0.60,-0.46,22.59,23,10.0
11/21/2023,16:32:56;396,-29,-0.60,-0.53,21.76,23,10.0
11/21/2023,16:32:57;395,-30,-0.30,-0.42,20.54,23,10.0
11/21/2023,16:32:58;394,-32,-0.60,-0.51,21.12,27,2.0
11/21/2023,16:32:59;394,-35,-0.90,-0.70,20.48,21,14.0
11/21/2023,16:33:00;398,-37,-0.60,-0.65,20.61,26,4.0
11/21/2023,16:33:01;397,-41,-1.20,-0.93,21.12,23,10.0
11/21/2023,16:33:02;396,-43,-0.60,-0.76,21.63,24,8.0
11/21/2023,16:33:03;396,-44,-0.30,-0.53,22.27,26,4.0
11/21/2023,16:33:04;399,-46,-0.60,-0.57,22.02,23,10.0
11/21/2023,16:33:05;399,-47,-0.30,-0.43,21.38,20,16.0
11/21/2023,16:33:06;398,-51,-1.20,-0.82,21.25,24,8.0
11/21/2023,16:33:07;397,-53,-0.60,-0.71,20.67,21,14.0
11/21/2023,16:33:08;400,-55,-0.60,-0.65,20.42,23,10.0
11/21/2023,16:33:09;400,-57,-0.60,-0.63,20.10,23,10.0
11/21/2023,16:33:10;399,-58,-0.30,-0.46,20.54,25,6.0
11/21/2023,16:33:11;398,-60,-0.60,-0.53,21.31,20,16.0
11/21/2023,16:33:12;401,-61,-0.30,-0.42,21.76,24,8.0
11/21/2023,16:33:13;400,-63,-0.60,-0.51,22.21,25,6.0
11/21/2023,16:33:14;400,-65,-0.60,-0.55,21.31,24,8.0
11/21/2023,16:33:15;403,-66,-0.30,-0.43,20.74,18,20.0
11/21/2023,16:33:16;402,-68,-0.60,-0.51,20.42,23,10.0
11/21/2023,16:33:17;402,-69,-0.30,-0.41,19.97,29,-2.0
11/21/2023,16:33:18;401,-71,-0.60,-0.50,20.22,26,4.0
11/21/2023,16:33:19;404,-72,-0.30,-0.40,20.67,28,0.0
11/21/2023,16:33:20;404,-74,-0.60,-0.50,21.76,26,4.0
