Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:01:15;435,-2,-0.6,-0.3,15.55,20,16
11/21/2023,16:01:16;435,-4,-0.6,-0.45,16.32,22,12
11/21/2023,16:01:17;439,-5,-0.3,-0.38,16.7,22,12
11/21/2023,16:01:18;438,-7,-0.6,-0.49,16.83,22,12
11/21/2023,16:01:19;436,-9,-0.6,-0.54,17.66,19,18
11/21/2023,16:01:20;440,-11,-0.6,-0.57,17.34,23,10
11/21/2023,16:01:21;440,-12,-0.3,-0.44,16.58,23,10
11/21/2023,16:01:22;439,-13,-0.3,-0.37,16.64,21,14
11/21/2023,16:01:23;439,-15,-0.6,-0.48,16,23,10
11/21/2023,16:01:24;442,-16,-0.3,-0.39,15.55,22,12
11/21/2023,16:01:25;441,-18,-0.6,-0.5,16.45,23,10
11/21/2023,16:01:26;440,-20,-0.6,-0.55,16.7,21,14
11/21/2023,16:01:27;439,-21,-0.3,-0.42,17.15,21,14
11/21/2023,16:01:28;443,-23,-0.6,-0.51,17.6,20,16
11/21/2023,16:01:29;443,-25,-0.6,-0.56,17.6,20,16
11/21/2023,16:01:30;441,-27,-0.6,-0.58,17.15,24,8
11/21/2023,16:01:31;441,-29,-0.6,-0.59,16.38,22,12
11/21/2023,16:01:32;444,-30,-0.3,-0.44,16.45,20,16
11/21/2023,16:01:33;444,-31,-0.3,-0.37,16.13,22,12
11/21/2023,16:01:34;443,-33,-0.6,-0.49,16.19,21,14
11/21/2023,16:01:35;443,-34,-0.3,-0.39,17.15,21,14
11/21/2023,16:01:36;446,-35,-0.3,-0.35,17.22,21,14
11/21/2023,16:01:37;445,-37,-0.6,-0.47,17.54,21,14
11/21/2023,16:01:38;445,-39,-0.6,-0.54,17.73,25,6
11/21/2023,16:01:39;444,-40,-0.3,-0.42,17.28,21,14
11/21/2023,16:01:40;448,-41,-0.3,-0.36,16.64,22,12
11/21/2023,16:01:41;447,-43,-0.6,-0.48,16,21,14
11/21/2023,16:01:42;446,-44,-0.3,-0.39,16.26,23,10
11/21/2023,16:01:43;446,-45,-0.3,-0.34,16.58,22,12
11/21/2023,16:01:44;449,-47,-0.6,-0.47,17.02,22,12
11/21/2023,16:01:45;449,-49,-0.6,-0.54,17.98,22,12
11/21/2023,16:01:46;448,-51,-0.6,-0.57,14.98,23,10
11/21/2023,16:01:47;451,-52,-0.3,-0.43,17.86,24,8
11/21/2023,16:01:48;451,-54,-0.6,-0.52,17.66,22,12
11/21/2023,16:01:49;450,-55,-0.3,-0.41,17.09,21,14
11/21/2023,16:01:50;450,-57,-0.6,-0.5,16.38,23,10
11/21/2023,16:01:51;453,-59,-0.6,-0.55,16.13,20,16
11/21/2023,16:01:52;453,-60,-0.3,-0.43,16.58,23,10
11/21/2023,16:01:53;452,-62,-0.6,-0.51,17.09,21,14
11/21/2023,16:01:54;451,-63,-0.3,-0.41,17.54,24,8
