Controller Name:,New_Controller2095709328,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:01:29;739,,,,,,,,,,,,
Stop Time:,11/21/2023,16:07:33;819,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,
Data,11/21/2023,16:01:29;739,100,0,98.847687,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;749,100,0,98.506966,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;759,100,0,98.253288,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;769,100,0,97.958839,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;779,100,0,97.677917,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;789,100,0,97.392883,84.322693,0.24299,0.24299,,,,,,
Data,11/21/2023,16:01:29;799,100,0,97.57962,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;809,100,0,97.869171,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;819,100,0,98.173279,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;829,100,0,98.481827,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;839,100,0,98.776192,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;849,100,0,99.110748,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;859,100,0,99.359833,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;869,100,0,99.648972,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;879,100,0,99.643845,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;889,100,0,99.537971,84.319824,0.246373,0.246373,,,,,,
Data,11/21/2023,16:01:29;899,100,0,99.424103,84.304199,0.247729,0.247729,,,,,,
Data,11/21/2023,16:01:29;909,100,0,99.328064,84.304199,0.247729,0.247729,,,,,,
Data,11/21/2023,16:01:29;919,100,0,99.224083,84.304199,0.247729,0.247729,,,,,,
Data,11/21/2023,16:01:29;929,100,0,99.124886,84.304199,0.247729,0.247729,,,,,,
