Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,11:45:47;682,-3,-0.9,-0.45,18.82,21,14
11/21/2023,11:45:48;681,-4,-0.3,-0.38,19.33,24,8
11/21/2023,11:45:49;681,-6,-0.6,-0.49,19.97,24,8
11/21/2023,11:45:50;684,-7,-0.3,-0.39,20.93,24,8
11/21/2023,11:45:51;684,-9,-0.6,-0.5,21.76,22,12
11/21/2023,11:45:52;684,-10,-0.3,-0.4,20.61,24,8
11/21/2023,11:45:53;682,-12,-0.6,-0.5,19.97,22,12
11/21/2023,11:45:54;686,-14,-0.6,-0.55,19.58,21,14
11/21/2023,11:45:55;686,-16,-0.6,-0.57,19.26,25,6
11/21/2023,11:45:56;685,-17,-0.3,-0.44,18.88,26,4
11/21/2023,11:45:57;684,-19,-0.6,-0.52,19.58,22,12
11/21/2023,11:45:58;688,-20,-0.3,-0.41,20.22,20,16
11/21/2023,11:45:59;687,-22,-0.6,-0.5,20.86,20,16
11/21/2023,11:46:00;686,-24,-0.6,-0.55,21.31,21,14
11/21/2023,11:46:01;685,-26,-0.6,-0.58,20.74,27,2
11/21/2023,11:46:02;688,-27,-0.3,-0.44,20.35,22,12
11/21/2023,11:46:03;688,-29,-0.6,-0.52,19.33,24,8
11/21/2023,11:46:04;687,-30,-0.3,-0.41,18.94,25,6
11/21/2023,11:46:05;688,-32,-0.6,-0.5,19.33,24,8
11/21/2023,11:46:06;691,-34,-0.6,-0.55,15.74,23,10
11/21/2023,11:46:07;690,-35,-0.3,-0.43,16.83,26,4
11/21/2023,11:46:08;689,-37,-0.6,-0.51,17.73,21,14
11/21/2023,11:46:09;689,-38,-0.3,-0.41,18.3,19,18
11/21/2023,11:46:10;692,-40,-0.6,-0.5,17.86,23,10
11/21/2023,11:46:11;692,-41,-0.3,-0.4,16.77,24,8
11/21/2023,11:46:12;691,-43,-0.6,-0.5,20.54,22,12
11/21/2023,11:46:13;691,-45,-0.6,-0.55,20.22,22,12
11/21/2023,11:46:14;694,-47,-0.6,-0.58,20.16,24,8
11/21/2023,11:46:15;693,-48,-0.3,-0.44,19.26,22,12
11/21/2023,11:46:16;693,-50,-0.6,-0.52,18.82,19,18
11/21/2023,11:46:17;692,-52,-0.6,-0.56,19.58,26,4
11/21/2023,11:46:18;695,-53,-0.3,-0.43,20.67,23,10
11/21/2023,11:46:19;694,-55,-0.6,-0.51,20.16,20,16
11/21/2023,11:46:20;694,-56,-0.3,-0.41,19.52,21,14
11/21/2023,11:46:21;698,-58,-0.6,-0.5,18.88,21,14
11/21/2023,11:46:22;696,-59,-0.3,-0.4,18.18,24,8
11/21/2023,11:46:23;696,-61,-0.6,-0.5,18.24,20,16
11/21/2023,11:46:24;695,-63,-0.6,-0.55,19.39,21,14
11/21/2023,11:46:25;698,-65,-0.6,-0.58,17.98,25,6
11/21/2023,11:46:26;698,-66,-0.3,-0.44,21.89,23,10
11/21/2023,11:46:27;698,-68,-0.6,-0.52,20.86,18,20
11/21/2023,11:46:28;697,-69,-0.3,-0.41,21.57,25,6
11/21/2023,11:46:29;700,-71,-0.6,-0.5,20.1,27,2
11/21/2023,11:46:30;700,-73,-0.6,-0.55,18.43,25,6
11/21/2023,11:46:31;699,-75,-0.6,-0.58,18.69,22,12
11/21/2023,11:46:32;699,-76,-0.3,-0.44,18.62,22,12
11/21/2023,11:46:33;702,-78,-0.6,-0.52,19.26,23,10
11/21/2023,11:46:34;701,-79,-0.3,-0.41,19.9,22,12
11/21/2023,11:46:35;700,-81,-0.6,-0.5,20.67,23,10
11/21/2023,11:46:36;699,-83,-0.6,-0.55,21.25,21,14
11/21/2023,11:46:37;704,-84,-0.3,-0.43,21.12,23,10
11/21/2023,11:46:38;702,-86,-0.6,-0.51,20.54,20,16
11/21/2023,11:46:39;702,-87,-0.3,-0.41,19.84,22,12
11/21/2023,11:46:40;702,-89,-0.6,-0.5,19.26,23,10
11/21/2023,11:46:41;705,-90,-0.3,-0.4,18.69,21,14
11/21/2023,11:46:42;705,-92,-0.6,-0.5,19.97,25,6
11/21/2023,11:46:43;704,-94,-0.6,-0.55,20.61,21,14
11/21/2023,11:46:44;703,-95,-0.3,-0.43,18.69,27,2
11/21/2023,11:46:45;705,-96,-0.3,-0.36,20.99,27,2
11/21/2023,11:46:46;706,-98,-0.6,-0.48,20.74,24,8
11/21/2023,11:46:47;705,-99,-0.3,-0.39,19.97,26,4
11/21/2023,11:46:48;708,-101,-0.6,-0.5,19.33,27,2
11/21/2023,11:46:49;707,-103,-0.6,-0.55,18.82,25,6
11/21/2023,11:46:50;706,-105,-0.6,-0.57,18.75,20,16
11/21/2023,11:46:51;706,-106,-0.3,-0.44,19.33,23,10
11/21/2023,11:46:52;709,-107,-0.3,-0.37,19.9,22,12
11/21/2023,11:46:53;709,-108,-0.3,-0.33,20.8,24,8
11/21/2023,11:46:54;708,-110,-0.6,-0.47,21.31,20,16
