Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,11:45:46;433,,,,,,,,,,,,,,
Stop Time:,11/21/2023,11:48:06;933,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,,,,,,,,,
Data,11/21/2023,11:45:46;433,95.85405,19200,89.264191,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;443,96.277313,19209,89.461586,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;453,96.624695,19219,89.760345,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;463,97.011932,19229,90.04538,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;473,97.400543,19239,90.334595,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;483,97.790375,19250,90.610519,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;493,98.220673,19259,90.890488,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;503,98.573906,19270,91.157585,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;513,99.006943,19279,91.428581,84.628326,0.218964,,,,,,,,,
Data,11/21/2023,11:45:46;523,99.362335,19290,91.713821,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;533,99.798111,19299,92.092392,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;543,100.155663,19309,92.453552,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;553,100.554131,19319,92.819992,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;563,100.953697,19329,93.169594,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;573,101.354477,19339,93.524307,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;583,101.756325,19350,93.862732,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;593,102.199661,19359,94.206108,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;603,102.563354,19370,94.484825,84.636017,0.21779,,,,,,,,,
Data,11/21/2023,11:45:46;613,103.009201,19379,94.604225,84.636017,0.21779,,,,,,,,,
