Controller Name:,"New_Controller1723528272"
Trend Name:,"testtrend"
Trend Tags:,"5"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,11/6/2023,13:39:27;207
Stop Time:,11/6/2023,13:41:43;327
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter"
Data,11/6/2023,13:39:27;207,"191.149780","1700.000000","163.741516","85.194305","0.158021"
Data,11/6/2023,13:39:27;217,"191.341461","1710.000000","163.981064","85.201416","0.158023"
Data,11/6/2023,13:39:27;227,"191.552139","1720.000000","164.209610","85.201416","0.158023"
Data,11/6/2023,13:39:27;237,"191.760391","1730.000000","164.396790","85.201416","0.158023"
Data,11/6/2023,13:39:27;247,"191.966187","1741.000000","164.545578","85.201416","0.158023"
Data,11/6/2023,13:39:27;257,"192.189758","1750.000000","164.696533","85.201416","0.158023"
Data,11/6/2023,13:39:27;267,"192.370453","1760.000000","164.840561","85.201416","0.158023"
Data,11/6/2023,13:39:27;277,"192.568909","1770.000000","164.982285","85.201416","0.158023"
Data,11/6/2023,13:39:27;287,"192.764877","1780.000000","165.121765","85.201416","0.158023"
Data,11/6/2023,13:39:27;297,"192.958374","1791.000000","165.263290","85.201416","0.158023"
Data,11/6/2023,13:39:27;307,"193.168335","1800.000000","165.398331","85.201416","0.158023"
Data,11/6/2023,13:39:27;317,"193.337891","1810.000000","165.550430","85.208344","0.158023"
Data,11/6/2023,13:39:27;327,"193.523911","1820.000000","165.705612","85.208344","0.158023"
Data,11/6/2023,13:39:27;337,"193.707428","1830.000000","165.863068","85.208344","0.158023"
Data,11/6/2023,13:39:27;347,"193.888412","1841.000000","166.013275","85.208344","0.158023"
Data,11/6/2023,13:39:27;357,"194.084595","1850.000000","166.165695","85.208344","0.158023"
Data,11/6/2023,13:39:27;367,"194.242828","1860.000000","166.311127","85.208344","0.158023"
Data,11/6/2023,13:39:27;377,"194.416229","1870.000000","166.454224","85.208344","0.158023"
Data,11/6/2023,13:39:27;387,"194.587097","1880.000000","166.599426","85.208344","0.158023"
Data,11/6/2023,13:39:27;397,"194.755402","1891.000000","166.714905","85.208344","0.158023"
Data,11/6/2023,13:39:27;407,"194.937592","1900.000000","166.814880","85.208344","0.158023"
Data,11/6/2023,13:39:27;417,"195.084351","1910.000000","166.910263","85.215607","0.157992"
Data,11/6/2023,13:39:27;427,"195.244980","1920.000000","167.007050","85.215607","0.157992"
Data,11/6/2023,13:39:27;437,"195.403015","1930.000000","167.102249","85.215607","0.157992"
Data,11/6/2023,13:39:27;447,"195.558487","1941.000000","167.193069","85.215607","0.157992"
Data,11/6/2023,13:39:27;457,"195.726517","1950.000000","167.285217","85.215607","0.157992"
Data,11/6/2023,13:39:27;467,"195.861664","1960.000000","167.373123","85.215607","0.157992"
Data,11/6/2023,13:39:27;477,"196.009338","1970.000000","167.467377","85.215607","0.157992"
Data,11/6/2023,13:39:27;487,"196.154419","1980.000000","167.560638","85.215607","0.157992"
Data,11/6/2023,13:39:27;497,"196.296875","1991.000000","167.655258","85.215607","0.157992"
Data,11/6/2023,13:39:27;507,"196.450577","2000.000000","167.745529","85.215607","0.157992"
Data,11/6/2023,13:39:27;517,"196.573959","2010.000000","167.837128","85.220947","0.158105"
Data,11/6/2023,13:39:27;527,"196.708557","2020.000000","167.924515","85.220947","0.158105"
