Controller Name:,"New_Controller1723528272"
Trend Name:,"testtrend"
Trend Tags:,"5"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,11/6/2023,15:00:04;980
Stop Time:,11/6/2023,15:02:18;210
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter"
Data,11/6/2023,15:00:04;980,"73.368820","4260.000000","77.011383","84.655640","0.181864"
Data,11/6/2023,15:00:04;990,"73.890335","4271.000000","77.238663","84.655640","0.181864"
Data,11/6/2023,15:00:05;000,"74.474197","4280.000000","77.455490","84.655640","0.181864"
Data,11/6/2023,15:00:05;010,"74.959824","4290.000000","77.675499","84.655640","0.181864"
Data,11/6/2023,15:00:05;020,"75.507645","4300.000000","77.811775","84.655640","0.181864"
Data,11/6/2023,15:00:05;030,"76.064087","4310.000000","77.659279","84.655640","0.181864"
Data,11/6/2023,15:00:05;040,"76.629028","4321.000000","77.504539","84.653351","0.183008"
Data,11/6/2023,15:00:05;050,"77.260223","4330.000000","77.356918","84.653351","0.183008"
Data,11/6/2023,15:00:05;060,"77.784119","4340.000000","77.207138","84.653351","0.183008"
Data,11/6/2023,15:00:05;070,"78.374084","4350.000000","77.064232","84.653351","0.183008"
Data,11/6/2023,15:00:05;080,"78.972183","4360.000000","76.919243","84.653351","0.183008"
Data,11/6/2023,15:00:05;090,"79.578392","4371.000000","76.780914","84.653351","0.183008"
Data,11/6/2023,15:00:05;100,"80.254349","4380.000000","76.841415","84.653351","0.183008"
Data,11/6/2023,15:00:05;110,"80.814529","4390.000000","77.556107","84.653351","0.183008"
Data,11/6/2023,15:00:05;120,"81.444275","4400.000000","78.281235","84.653351","0.183008"
Data,11/6/2023,15:00:05;130,"82.081726","4410.000000","78.973068","84.653351","0.183008"
Data,11/6/2023,15:00:05;140,"82.726700","4421.000000","79.675011","84.652496","0.183115"
Data,11/6/2023,15:00:05;150,"83.444824","4430.000000","80.344719","84.652496","0.183115"
Data,11/6/2023,15:00:05;160,"84.039001","4440.000000","81.024216","84.652496","0.183115"
Data,11/6/2023,15:00:05;170,"84.706093","4450.000000","81.672493","84.652496","0.183115"
Data,11/6/2023,15:00:05;180,"85.380318","4460.000000","82.243538","84.652496","0.183115"
Data,11/6/2023,15:00:05;190,"86.061615","4471.000000","82.554276","84.652496","0.183115"
Data,11/6/2023,15:00:05;200,"86.819061","4480.000000","82.850746","84.652496","0.183115"
Data,11/6/2023,15:00:05;210,"87.444878","4490.000000","83.151558","84.652496","0.183115"
Data,11/6/2023,15:00:05;220,"88.146637","4500.000000","83.438538","84.652496","0.183115"
Data,11/6/2023,15:00:05;230,"88.855057","4510.000000","83.729713","84.652496","0.183115"
Data,11/6/2023,15:00:05;240,"89.569946","4521.000000","84.007515","84.651489","0.183065"
Data,11/6/2023,15:00:05;250,"90.363655","4530.000000","84.289391","84.651489","0.183065"
Data,11/6/2023,15:00:05;260,"91.018738","4540.000000","84.563568","84.651489","0.183065"
Data,11/6/2023,15:00:05;270,"91.752411","4550.000000","84.862823","84.651489","0.183065"
Data,11/6/2023,15:00:05;280,"92.492149","4560.000000","85.148323","84.651489","0.183065"
